Zip,Potomac,Arlington,Hunt,Glen,Lat,Long,ID
20001,23.49596729,10.86097406,57.94114357,108.5146706,38.910353,-77.017739,1
20002,27.78406055,11.99125107,56.17458088,109.6443262,38.905026,-76.983607,1
20003,22.78201002,10.14701679,57.5235811,107.8007133,38.88184,-76.99094,1
20004,19.21035953,5.766338996,62.25781998,106.3150111,38.894885,-77.028638,1
20005,16.63601228,7.079920961,58.42705705,107.2520412,38.904674,-77.031578,1
20006,19.22775796,5.783737433,62.63064362,106.596493,38.898608,-77.041461,1
20007,13.00284589,5.553208147,60.50430611,107.7298768,38.914363,-77.079339,1
20008,11.59543664,9.301949868,58.24126661,110.2949035,38.936238,-77.059981,1
20009,15.9493954,7.962270247,58.373619,107.8845987,38.919144,-77.037381,1
20010,15.14347496,10.19796935,57.56707719,109.325562,38.933366,-77.030312,1
20011,14.16419153,10.30670958,56.58779375,111.2990418,38.952514,-77.022991,1
20012,12.01424186,12.4647371,54.43784409,122.4725664,38.976873,-77.032609,1
20015,10.7143301,9.187617284,57.36016007,112.4094349,38.966889,-77.058323,1
20016,11.92414282,6.746243802,59.07701294,109.2951148,38.93693,-77.090014,1
20017,17.32511464,13.22529733,56.92209229,110.8783725,38.93846,-76.993163,1
20018,26.97068363,13.23337517,55.36182534,110.8870717,38.926576,-76.974446,1
20019,27.00237364,14.9216449,55.39289398,113.6962979,38.891412,-76.943575,1
20020,23.66622342,11.03185157,58.4898157,109.7381535,38.860086,-76.978491,1
20024,22.95723713,8.994370363,63.37877639,107.9759404,38.876122,-77.025374,1
20032,26.0870916,13.45209838,60.93491742,107.6497198,38.833719,-77.006591,1
20036,16.25697491,6.700883592,59.13542197,107.2396138,38.907017,-77.041569,1
20037,18.51877167,5.07475114,62.74435483,106.9307915,38.898889,-77.055456,1
20045,19.7055936,6.261573067,61.50160936,106.3485653,38.896731,-77.030798,1
20260,20.99369928,8.358706053,60.45397492,106.0124026,38.883669,-77.025036,1
20374,22.74037804,10.10538482,58.3667839,109.4566717,38.8738,-76.9933,1
20376,22.35512695,9.720755092,59.14225707,107.3738303,38.8738,-76.9933,1
20388,22.5247617,9.889768477,58.57742926,107.543465,38.8738,-76.9933,1
20391,28.38492798,12.38706551,56.77544832,110.0401407,38.8738,-76.9933,1
20398,22.68631862,10.05132539,58.45874706,107.7050219,38.8738,-76.9933,1
20500,19.5825618,6.138541265,61.66130215,106.181416,38.8738,-76.9933,1
20105,36.60631066,32.27907092,90.51785204,113.2694148,38.953169,-77.603594,1
20109,34.03569165,25.98021549,87.94723303,98.07374452,38.793641,-77.531024,1
20111,33.46092187,25.40544571,87.37246325,94.85441237,38.748968,-77.427873,1
20112,48.24772888,40.19225272,102.1592703,86.19309779,38.664571,-77.429326,1
20117,43.89439149,39.56715175,100.0323114,113.3955535,38.998822,-77.733937,1
